,file_name,batch,TMT_group2,TMT_group1,mix_channels
0,bannertmt_b13_14,13,"['128C', '127N', '130C', '128N', '129C']","['130N', '131N', '127C', '129N']","['126', '131C']"
1,bannertmt_b11_04,11,"['131N', '130N', '129C', '127N', '129N']","['128C', '128N', '127C', '130C']","['126', '131C']"
2,bannertmt_b19_03,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
3,bannertmt_b21_11,21,"['127N', '128N', '130N', '129N']","['130C', '129C', '128C', '127C', '131N']","['126', '131C']"
4,bannertmt_b14_14,14,"['129C', '128C', '127N']","['127C', '131N', '128N', '130C', '129N', '130N']","['126', '131C']"
5,bannertmt_b03_24,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
6,bannertmt_b13_02,13,"['128C', '127N', '130C', '128N', '129C']","['130N', '131N', '127C', '129N']","['126', '131C']"
7,bannertmt_b06_15,6,"['130N', '127N', '129C', '128C', '128N']","['129N', '127C', '131N', '130C']","['126', '131C']"
8,bannertmt_b22_23,22,"['131N', '128C', '129C', '130N']","['128N', '130C', '127C', '129N', '127N']","['126', '131C']"
9,bannertmt_b19_18,19,"['127N', '130N', '131N', '128N']","['128C', '129C', '127C', '129N', '130C']","['126', '131C']"
10,bannertmt_b17_02,17,"['130N', '131N', '127N', '129N', '128N']","['127C', '129C', '128C', '130C']","['126', '131C']"
11,bannertmt_b07_05,7,"['129N', '131N', '130N', '128N', '127N']","['129C', '128C', '127C', '130C']","['126', '131C']"
12,bannertmt_b17_13,17,"['130N', '131N', '127N', '129N', '128N']","['127C', '129C', '128C', '130C']","['126', '131C']"
13,bannertmt_b22_08,22,"['131N', '128C', '129C', '130N']","['128N', '130C', '127C', '129N', '127N']","['126', '131C']"
14,bannertmt_b05_11,5,"['128N', '130C', '129C', '127N', '128C']","['127C', '129N', '130N', '131N']","['126', '131C']"
15,bannertmt_b05_07,5,"['128N', '130C', '129C', '127N', '128C']","['127C', '129N', '130N', '131N']","['126', '131C']"
16,bannertmt_b21_14,21,"['127N', '128N', '130N', '129N']","['130C', '129C', '128C', '127C', '131N']","['126', '131C']"
17,bannertmt_b08_12,8,"['130C', '127C', '129N', '129C']","['128C', '127N', '131N', '128N', '130N']","['126', '131C']"
18,bannertmt_b18_22,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
19,bannertmt_b13_09,13,"['128C', '127N', '130C', '128N', '129C']","['130N', '131N', '127C', '129N']","['126', '131C']"
20,bannertmt_b18_04,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
21,bannertmt_b16_21,16,"['130C', '127N', '129N', '130N']","['128N', '129C', '128C', '127C', '131N']","['126', '131C']"
22,bannertmt_b17_15,17,"['130N', '131N', '127N', '129N', '128N']","['127C', '129C', '128C', '130C']","['126', '131C']"
23,bannertmt_b17_03,17,"['130N', '131N', '127N', '129N', '128N']","['127C', '129C', '128C', '130C']","['126', '131C']"
24,bannertmt_b22_12,22,"['131N', '128C', '129C', '130N']","['128N', '130C', '127C', '129N', '127N']","['126', '131C']"
25,bannertmt_b20_12,20,"['128C', '130N', '128N', '130C', '127C']","['129C', '127N', '129N', '131N']","['126', '131C']"
26,bannertmt_b01_21,1,"['127N', '129N', '128N', '130N', '131N', '128C']","['129C', '130C', '127C']","['126', '131C']"
27,bannertmt_b07_08,7,"['129N', '131N', '130N', '128N', '127N']","['129C', '128C', '127C', '130C']","['126', '131C']"
28,bannertmt_b06_09,6,"['130N', '127N', '129C', '128C', '128N']","['129N', '127C', '131N', '130C']","['126', '131C']"
29,bannertmt_b14_07,14,"['129C', '128C', '127N']","['127C', '131N', '128N', '130C', '129N', '130N']","['126', '131C']"
30,bannertmt_b16_06,16,"['130C', '127N', '129N', '130N']","['128N', '129C', '128C', '127C', '131N']","['126', '131C']"
