modifiction,aminoacid,mass_shift,type,accession_unimod
Phospho,E\[\+80\],+79.9668,2,21
Phospho,R\[\+80\],+79.9668,2,21
Phospho,K\[\+80\],+79.9668,2,21
Phospho,H\[\+80\],+79.9668,2,21
Phospho,C\[\+80\],+79.9668,2,21
Phospho,D\[\+80\],+79.9668,2,21
Phospho,Y\[\+80\],+79.9668,2,21
Phospho,T\[\+80\],+79.9668,2,21
Phospho,S\[\+80\],+79.9668,2,21
Phospho,E\[\+81\],+80.9698,2,21
Phospho,R\[\+81\],+80.9698,2,21
Phospho,K\[\+81\],+80.9698,2,21
Phospho,H\[\+81\],+80.9698,2,21
Phospho,C\[\+81\],+80.9698,2,21
Phospho,D\[\+81\],+80.9698,2,21
Phospho,Y\[\+81\],+80.9698,2,21
Phospho,T\[\+81\],+80.9698,2,21
Phospho,S\[\+81\],+80.9698,2,21
